时间,开盘,最高,最低,收盘,成交量,持仓量,MA5,MA10,MA20,MA60,MACD,MACD_SIGNAL,MACD_HIST,RSI14,ATR14,CCI20,VOL_MA20,OBV,OI_MA20,OI_CHANGE,OI_CHANGE_PCT
2014-04-18,13230,13230,13170,13225,6750,57077,13219.0,13186.5,13088.5,13259.583333333334,20.22966212815481,-9.015198466857878,29.244860595012693,67.79661016949153,102.14285714285714,47.6749774428352,13717.2,5347017,60526.35,-1943.0,-3.292104371399529
2014-04-21,13230,13230,13185,13200,4456,56107,13212.0,13191.0,13111.0,13249.666666666666,20.96924451274208,-3.0183098709378866,23.987554383679967,64.46280991735537,100.0,44.82482993598453,13280.8,5342561,60328.4,-970.0,-1.6994586260665412
2014-04-22,13200,13260,13185,13250,5945,54580,13220.0,13203.0,13129.5,13241.0,25.298327640122807,2.645017631274252,22.65331000884856,64.16666666666666,93.92857142857144,54.486643533664505,12729.5,5348506,60078.2,-1527.0,-2.721585541910987
2014-04-23,13265,13455,13255,13445,16449,53641,13272.0,13241.5,13154.75,13236.583333333334,43.95731496054941,10.907477097129284,33.04983786342012,71.89542483660131,98.57142857142856,112.90777625015076,12863.6,5364955,59829.0,-939.0,-1.7204104067424009
2014-04-24,13430,13725,13430,13695,50380,60761,13363.0,13295.0,13193.75,13237.333333333334,78.01826155107483,24.329633987918395,53.68862756315643,77.83505154639175,111.78571428571428,157.79369417380914,14679.9,5415335,59939.2,7120.0,13.273428906992793
2014-04-25,13705,13710,13495,13580,41291,58407,13434.0,13326.5,13221.0,13237.666666666666,94.64130219549406,38.39196762943353,56.24933456606053,69.5852534562212,122.14285714285714,119.8723789791112,15894.3,5374044,59925.25,-2354.0,-3.874195618900278
2014-04-28,13570,13620,13500,13535,24701,57874,13501.0,13356.5,13247.0,13236.666666666666,102.99677504003192,51.31292911155322,51.68384592847872,68.32579185520362,126.07142857142856,91.9390428446921,16558.25,5349343,59852.3,-533.0,-0.912561850463134
2014-04-29,13490,13530,13405,13420,24258,58265,13535.0,13377.5,13266.75,13234.333333333334,99.19554407731812,60.8894521047062,38.30609197261192,65.65217391304347,128.21428571428572,57.08206730107568,17204.1,5325085,59808.35,391.0,0.6756056260151411
2014-04-30,13445,13445,13305,13330,21544,57401,13512.0,13392.0,13279.25,13230.166666666666,87.90745094040903,66.29305187184677,21.614399068562264,57.45614035087719,123.57142857142856,26.913716314373524,17331.0,5303541,59585.7,-864.0,-1.482879945078519
2014-05-01,13445,13445,13305,13330,21544,57401,13439.0,13401.0,13290.25,13226.0,78.06170901330916,68.64678330013925,9.414925713169907,53.14009661835749,124.28571428571428,23.60689474564404,17335.0,5303541,59384.0,0.0,0.0
2014-05-02,13445,13445,13330,13330,21544,57401,13389.0,13411.5,13299.0,13225.666666666666,69.45821651756705,68.80906994362482,0.6491465739422324,54.72636815920399,126.42857142857144,22.930669862342736,17784.25,5303541,59168.4,0.0,0.0
2014-05-05,13300,13335,13210,13210,13089,56942,13324.0,13412.5,13301.75,13222.75,52.35339229420788,65.51793441374144,-13.164542119533564,50.0,130.35714285714286,-15.677368238386997,17810.75,5290452,58929.85,-459.0,-0.7996376369749703
2014-05-06,13215,13280,13145,13190,14885,57377,13278.0,13406.5,13304.75,13221.5,36.76011528394884,59.76637058778292,-23.006255303834088,50.2283105022831,134.28571428571428,-32.80324453075033,18147.0,5275567,58705.15,435.0,0.7639352323416837
2014-05-07,13185,13205,13085,13095,19540,58534,13231.0,13371.5,13306.5,13217.416666666666,16.54589409033906,51.12227528829416,-34.576381197955094,43.61233480176212,137.85714285714286,-60.3270983820915,18629.2,5256027,58548.8,1157.0,2.016487442703529
2014-05-08,13050,13070,13000,13055,15230,58423,13176.0,13307.5,13301.25,13212.083333333334,-2.670899085169367,40.36364041360145,-43.03453949877082,42.672413793103445,139.64285714285714,-84.15232146792694,18291.65,5240797,58315.75,-111.0,-0.1896333754740853
2014-05-09,13050,13210,13040,13180,27560,58482,13146.0,13267.5,13297.0,13207.583333333334,-7.724843606320064,30.74594360961715,-38.470787215937214,49.20634920634921,148.57142857142858,-48.69316384313737,18472.85,5268357,58060.8,59.0,0.1009876247368257
2014-05-12,13135,13235,13110,13185,20252,58909,13141.0,13232.5,13294.5,13202.083333333334,-11.197593945042172,22.357236098685284,-33.554830043727456,47.325102880658434,152.14285714285714,-37.14522486374868,18799.4,5288609,57900.65,427.0,0.7301391881262553
2014-05-13,13215,13260,13125,13165,19470,59643,13136.0,13207.0,13292.25,13198.166666666666,-15.386243424725762,14.808540194003076,-30.19478361872884,36.53846153846153,147.14285714285714,-34.18474616240414,19190.35,5269139,57819.0,734.0,1.245989577144413
2014-05-14,13155,13175,13090,13140,16373,58873,13145.0,13188.0,13290.0,13193.083333333334,-20.486909046419896,7.749450345918484,-28.23635939233838,15.950920245398777,132.14285714285714,-48.00893483271686,19629.95,5252766,57755.9,-770.0,-1.2910148718206615
